#tic_id,n_sectors,n_outbursts,n_flares,ampl_max,ampl_mean,fwhm_max,fwhm_mean,bol_energy_max,bol_energy_mean,M_CME_max,M_CME_mean,tessmag,teff,radius,logg,type,tess_rot,kelt_rot,rot,FFD_alpha,FFD_beta,preb_chem,ozone_depl_cons,ozone_depl_perm,duplicates
140859822,2,11,16,0.35889719299837125,0.129551348638335,0.04424010016391397,0.009090870376719299,nan,nan,nan,nan,12.068,nan,0.234,5.02428,nan,0.6209,nan,0.6209,nan,nan,0,0,0,0
140971842,1,1,1,0.032051864795205685,0.032051864795205685,0.0033036366267675007,0.0033036366267675007,9.708395959082908e+32,9.708395959082908e+32,1.1256426990837262e+20,1.1256426990837262e+20,11.8571,3676.0,nan,nan,M0-M4,nan,nan,nan,nan,nan,0,0,0,0
141096071,1,1,1,0.019977857232701422,0.019977857232701422,0.009537449136581274,0.009537449136581274,5.479260843289666e+33,5.479260843289666e+33,3.138859537610345e+20,3.138859537610345e+20,11.8786,4176.0,0.678956,nan,FGK,1.55594,nan,1.55594,nan,nan,0,0,0,0
141212720,2,5,7,0.297076741538445,0.11206796016535049,0.007206338246543813,0.002933688162769442,nan,nan,nan,nan,12.103,nan,nan,nan,nan,1.467176,nan,1.467176,nan,nan,0,0,0,0
141271216,1,1,1,0.41081429368244393,0.41081429368244393,0.002028593174084628,0.002028593174084628,1.2703495919753359e+33,1.2703495919753359e+33,9.61979161670291e+19,9.61979161670291e+19,13.7275,3190.0,0.284176,4.94364,M4-M10,4.38725,nan,4.38725,nan,nan,0,0,0,0
141278810,1,1,1,0.6769090153883275,0.6769090153883275,0.0018918174143583047,0.0018918174143583047,1.8697513953719835e+33,1.8697513953719835e+33,1.2544733574570918e+20,1.2544733574570918e+20,13.9021,3102.0,0.31115,4.9136,M4-M10,0.78902,nan,0.78902,nan,nan,0,0,0,0
141334293,2,18,24,4.623995757405515,0.7264245819630469,0.04872043610752451,0.007190180508460409,4.512279343090395e+34,9.217361966547742e+33,1.1862227980662525e+21,2.7048701359753203e+20,12.7255,3149.0,0.427312,4.80183,M4-M10,1.427997,nan,1.427997,-0.44135035235551895,13.958954923035957,1,0,0,0
141423634,2,5,5,0.1780128617759463,0.10241460569181111,0.010836303836082804,0.0052751750611591906,1.8970394197407904e+33,1.0441739797308346e+33,1.804093398619034e+20,1.088152505428228e+20,13.0842,3194.0,0.360955,4.86331,M4-M10,0.9478425,nan,0.9478425,-1.2792261065251243,40.864185436022375,0,0,0,0
141426525,1,1,2,0.2399826751285256,0.15733398551146835,0.007077479857743306,0.00421543663030095,nan,nan,nan,nan,13.127,nan,nan,nan,nan,2.5462025,nan,2.5462025,nan,nan,0,0,0,0
141606958,1,1,1,0.01012680283748325,0.01012680283748325,0.004224612527427596,0.004224612527427596,4.9152337374136577e+33,4.9152337374136577e+33,2.4406587209966872e+20,2.4406587209966872e+20,10.2448,5204.23,0.795225,4.58157,FGK,0.171943,nan,0.171943,nan,nan,0,0,0,0
